Тип	Кадастровый номер	Адрес	Площадь	Кадастровая стоимость
комната	59:01:4410043:329	г Пермь, ул Петропавловская, д. 17, 2	12 кв.м.	877 395 руб.
комната	59:01:4410043:308	г Пермь, ул Петропавловская, д. 17, 13	15.1 кв.м.	1 065 477 руб.
комната	59:01:4410043:351	г Пермь, ул Петропавловская, д. 17, 6	16.2 кв.м.	1 129 360 руб.
трехкомнатная квартира	59:01:4410043:272	г Пермь, ул Петропавловская, д. 17, 31	54.4 кв.м.	3 326 794 руб.
двухкомнатная квартира	59:01:4410043:264	г Пермь, ул Петропавловская, д. 17, 23	53.2 кв.м.	3 253 409 руб.
комната	59:01:4410043:331	г Пермь, ул Петропавловская, д. 17, 2	12.5 кв.м.	908 582 руб.
трехкомнатная квартира	59:01:4410043:262	г Пермь, ул Петропавловская, д. 17, 21	57.1 кв.м.	2 873 412 руб.
однокомнатная квартира	59:01:4410043:265	г Пермь, ул Петропавловская, д. 17, 24	31.2 кв.м.	1 885 581 руб.
комната	59:01:4410043:325	г Пермь, ул Петропавловская, д. 17, 18	9.4 кв.м.	709 437 руб.
комната	59:01:4410043:339	г Пермь, ул Петропавловская, д. 17, 4	14.2 кв.м.	1 012 135 руб.
двухкомнатная квартира	59:01:4410043:282	г Пермь, ул Петропавловская, д. 17, 40	41.9 кв.м.	2 330 218 руб.
трехкомнатная квартира	59:01:4410043:266	г Пермь, ул Петропавловская, д. 17, 25	57.8 кв.м.	2 896 463 руб.
комната	59:01:4410043:361	г Пермь, ул Петропавловская, д. 17, 8	16.8 кв.м.	1 163 619 руб.
комната	59:01:4410043:332	г Пермь, ул Петропавловская, д. 17, 2	12.2 кв.м.	889 911 руб.
комната	59:01:4410043:350	г Пермь, ул Петропавловская, д. 17, 6	14.8 кв.м.	1 047 806 руб.
комната	59:01:4410043:311	г Пермь, ул Петропавловская, д. 17, 14	16.8 кв.м.	1 163 619 руб.
квартира	59:01:4410043:257	г Пермь, ул Петропавловская, д. 17, 17	31.2 кв.м.	1 885 581 руб.
комната	59:01:4410043:309	г Пермь, ул Петропавловская, д. 17, 14	15 кв.м.	1 059 599 руб.
комната	59:01:4410043:294	г Пермь, ул Петропавловская, д. 17, 10	14.3 кв.м.	1 018 111 руб.
комната	59:01:4410043:313	г Пермь, ул Петропавловская, д. 17, 15	14.4 кв.м.	1 024 075 руб.
комната	59:01:4410043:355	г Пермь, ул Петропавловская, д. 17, 7	15.4 кв.м.	1 083 041 руб.
квартира	59:01:5110008:45	г Пермь, ул Петропавловская, д. 17, 33	56.6 кв.м.	201 158 руб.
магазин	59:01:4410043:248	г Пермь, ул Петропавловская, д. 17	38.5 кв.м.	1 565 288 руб.
комната	59:01:4410043:300	г Пермь, ул Петропавловская, д. 17, 11	14.6 кв.м.	1 035 965 руб.
комната	59:01:4410043:318	г Пермь, ул Петропавловская, д. 17, 16	10.6 кв.м.	788 201 руб.
комната	59:01:4410043:290	г Пермь, ул Петропавловская, д. 17, 1	8.8 кв.м.	669 210 руб.
комната	59:01:4410043:323	г Пермь, ул Петропавловская, д. 17, 17	12.3 кв.м.	896 149 руб.
комната	59:01:4410043:352	г Пермь, ул Петропавловская, д. 17, 6	15.4 кв.м.	1 083 041 руб.
однокомнатная квартира	59:01:4410043:255	г Пермь, ул Петропавловская, д. 17, 15	32.9 кв.м.	1 960 527 руб.
трехкомнатная квартира	59:01:4410043:278	г Пермь, ул Петропавловская, д. 17, 37	57 кв.м.	2 870 107 руб.
однокомнатная квартира	59:01:4410043:263	г Пермь, ул Петропавловская, д. 17, 22	32.3 кв.м.	1 934 281 руб.
однокомнатная квартира	59:01:4410043:283	г Пермь, ул Петропавловская, д. 17, 5	31.1 кв.м.	1 881 116 руб.
комната	59:01:4410043:302	г Пермь, ул Петропавловская, д. 17, 12	14.6 кв.м.	1 035 965 руб.
комната	59:01:4410043:344	г Пермь, ул Петропавловская, д. 17, 5	16 кв.м.	1 117 850 руб.
трехкомнатная квартира	59:01:4410043:274	г Пермь, ул Петропавловская, д. 17, 33	56.6 кв.м.	2 856 854 руб.
комната	59:01:4410043:360	г Пермь, ул Петропавловская, д. 17, 8	16.6 кв.м.	1 152 245 руб.
комната	59:01:4410043:292	г Пермь, ул Петропавловская, д. 17, 1	10.1 кв.м.	755 650 руб.
комната	59:01:4410043:324	г Пермь, ул Петропавловская, д. 17, 17	11.1 кв.м.	820 380 руб.
однокомнатная квартира	59:01:4410043:285	г Пермь, ул Петропавловская, д. 17, 7	30.5 кв.м.	1 854 189 руб.
нежилые помещения	59:01:5110008:87	г Пермь, ул Петропавловская, д. 17	48.3 кв.м.	42 131 руб.
комната	59:01:4410043:303	г Пермь, ул Петропавловская, д. 17, 12	14.5 кв.м.	1 030 026 руб.
комната	59:01:4410043:346	г Пермь, ул Петропавловская, д. 17, 5	16.2 кв.м.	1 129 360 руб.
офис	59:01:4410043:426	г Пермь, ул Петропавловская, д. 17, б/н1	38.8 кв.м.	2 089 678 руб.
однокомнатная квартира	59:01:4410043:275	г Пермь, ул Петропавловская, д. 17, 34	31.8 кв.м.	1 912 239 руб.
комната	59:01:4410043:293	г Пермь, ул Петропавловская, д. 17, 10	14.2 кв.м.	1 012 135 руб.
однокомнатная квартира	59:01:4410043:271	г Пермь, ул Петропавловская, д. 17, 30	31.6 кв.м.	1 903 378 руб.
однокомнатная квартира	59:01:4410043:251	г Пермь, ул Петропавловская, д. 17, 11	30.4 кв.м.	1 849 678 руб.
участок	59:01:4410043:10	г Пермь, ул Петропавловская, д. 17	1866.9 кв.м.	17 229 172 руб.
трехкомнатная квартира	59:01:4410043:256	г Пермь, ул Петропавловская, д. 17, 16	54.1 кв.м.	2 772 858 руб.
комната	59:01:4410043:326	г Пермь, ул Петропавловская, д. 17, 18	9.1 кв.м.	689 396 руб.
нежилое помещение	59:01:4410035:546	г Пермь, ул Куйбышева, д. 7	368.3 кв.м.	10 660 444 руб.
квартира	59:01:4410035:595	г Пермь, ул Куйбышева, д. 7, 92	13 кв.м.	696 296 руб.
	59:01:4410035:1068	г Пермь, ул Куйбышева, д. 7, 31	20.4 кв.м.	653 776 руб.
комната	59:01:4410034:638	г Пермь, ул Куйбышева, д. 7, 56	34.7 кв.м.	1 309 414 руб.
квартира	59:01:4410035:558	г Пермь, ул Куйбышева, д. 7, 29	114.1 кв.м.	3 259 899 руб.
комната	59:01:4410035:1043	г Пермь, ул Куйбышева, д. 7, 97	19.1 кв.м.	784 820 руб.
комната	59:01:4410034:636	г Пермь, ул Куйбышева, д. 7, 76	23.9 кв.м.	901 873 руб.
комната в -комнатной квартире	59:01:4410034:597	г Пермь, ул Куйбышева, д. 7, 45	28.2 кв.м.	1 064 134 руб.
квартира	59:01:4410035:648	г Пермь, ул Куйбышева, д. 7, 23	103.6 кв.м.	3 081 857 руб.
комната 	59:01:4410035:659	г Пермь, ул Куйбышева, д. 7, 104	9.2 кв.м.	515 935 руб.
квартира	59:01:4410035:594	г Пермь, ул Куйбышева, д. 7, 91	12.8 кв.м.	687 179 руб.
квартира	59:01:4410035:580	г Пермь, ул Куйбышева, д. 7, 71	12.4 кв.м.	668 828 руб.
электрические сети	59:01:4410035:33	г Пермь, ул Куйбышева, д. 7	0 кв.м.	89 732 руб.
комната	59:01:4410035:1039	г Пермь, ул Куйбышева, д. 7, 75	15 кв.м.	616 351 руб.
квартира	59:01:4410035:633	г Пермь, ул Куйбышева, д. 7, 115	11.3 кв.м.	617 521 руб.
комната	59:01:4410035:1044	г Пермь, ул Куйбышева, д. 7, 98	26.5 кв.м.	1 088 886 руб.
квартира	59:01:4410035:585	г Пермь, ул Куйбышева, д. 7, 3	107.7 кв.м.	3 152 593 руб.
квартира	59:01:4410035:576	г Пермь, ул Куйбышева, д. 7, 67	12.4 кв.м.	668 828 руб.
 комната с частью вспомогательных помещений	59:01:0000000:70326	г Пермь, ул Куйбышева, д. 7, 91	16.6 кв.м.	73 552 руб.
встроенные помещения	59:01:0000000:25365	г Пермь, ул Куйбышева, д. 7	368.3 кв.м.	1 347 507 руб.
квартира	59:01:4410034:195	г Пермь, ул Куйбышева, д. 7, 20	89.5 кв.м.	2 421 851 руб.
 комнаты	59:01:0000000:69908	г Пермь, ул Куйбышева, д. 7, 14	74.8 кв.м.	331 427 руб.
комната	59:01:0000000:72570	г Пермь, ул Куйбышева, д. 7, 72	17.1 кв.м.	75 767 руб.
комната в -комнатной квартире	59:01:4410034:586	г Пермь, ул Куйбышева, д. 7, 24	55 кв.м.	2 075 439 руб.
комната	59:01:4410035:1031	г Пермь, ул Куйбышева, д. 7, 121	16.9 кв.м.	694 422 руб.
комната	59:01:4410035:825	г Пермь, ул Куйбышева, д. 7, 27	22.5 кв.м.	449 910 руб.
комната в -комнатной квартире	59:01:0000000:69909	г Пермь, ул Куйбышева, д. 7, 5	37.4 кв.м.	165 713 руб.
квартира	59:01:4410035:631	г Пермь, ул Куйбышева, д. 7, 90	12.9 кв.м.	691 742 руб.
квартира	59:01:4410035:615	г Пермь, ул Куйбышева, д. 7, 43	42.4 кв.м.	1 741 471 руб.
 комнаты с частью вспомогательных помещений	59:01:0000000:70324	г Пермь, ул Куйбышева, д. 7, 27	40.4 кв.м.	179 006 руб.
квартира	59:01:4410035:620	г Пермь, ул Куйбышева, д. 7, 77	19.4 кв.м.	969 169 руб.
 комнаты в -комнатной квартире	59:01:4410034:598	г Пермь, ул Куйбышева, д. 7, 53	55.4 кв.м.	2 090 533 руб.
квартира	59:01:4410035:607	г Пермь, ул Куйбышева, д. 7, 6	94.5 кв.м.	2 918 737 руб.
 комнаты с частью вспомогательных помещений	59:01:4410035:1008	г Пермь, ул Куйбышева, д. 7, 39	39 кв.м.	1 602 512 руб.
квартира	59:01:4410035:645	г Пермь, ул Куйбышева, д. 7, 14	167.8 кв.м.	4 044 799 руб.
квартира	59:01:4410035:572	г Пермь, ул Куйбышева, д. 7, 61	8.4 кв.м.	475 893 руб.
квартира	59:01:4410035:643	г Пермь, ул Куйбышева, д. 7, 7	108.9 кв.м.	3 172 995 руб.
квартира	59:01:4410035:597	г Пермь, ул Куйбышева, д. 7, 94	12.5 кв.м.	673 431 руб.
квартира	59:01:4410035:571	г Пермь, ул Куйбышева, д. 7, 60	8.5 кв.м.	480 941 руб.
комната	59:01:0000000:72586	г Пермь, ул Куйбышева, д. 7, 1	13.9 кв.м.	61 589 руб.
 комнаты в -комнатной квартире	59:01:4410034:593	г Пермь, ул Куйбышева, д. 7, 31	37.1 кв.м.	1 399 978 руб.
квартира	59:01:4410035:630	г Пермь, ул Куйбышева, д. 7, 89	12.9 кв.м.	691 742 руб.
комната с частью вспомогательных помещений	59:01:0000000:70328	г Пермь, ул Куйбышева, д. 7, 90	16.7 кв.м.	73 995 руб.
комната	59:01:4410034:643	г Пермь, ул Куйбышева, д. 7, 27	44.5 кв.м.	1 679 219 руб.
 комнаты в -комнатной квартире	59:01:0000000:69912	г Пермь, ул Куйбышева, д. 7, 55	60.8 кв.м.	269 395 руб.
квартира	59:01:4410035:638	г Пермь, ул Куйбышева, д. 7, 120	12.5 кв.м.	673 431 руб.
комната	59:01:4410035:1034	г Пермь, ул Куйбышева, д. 7, 68	16.8 кв.м.	690 313 руб.
квартира	59:01:4410035:623	г Пермь, ул Куйбышева, д. 7, 80	11.5 кв.м.	626 943 руб.
квартира	59:01:4410035:553	г Пермь, ул Куйбышева, д. 7, 10	67.8 кв.м.	2 379 489 руб.
встроенные помещения	59:01:4410034:162	г Пермь, ул Куйбышева, д. 7	1139.9 кв.м.	4 170 575 руб.
комната	59:01:4410035:1041	г Пермь, ул Куйбышева, д. 7, 78	10.6 кв.м.	435 554 руб.
квартира	59:01:4410035:662	г Пермь, ул Куйбышева, д. 7, 107	11.1 кв.м.	608 056 руб.
комната	59:01:4410034:639	г Пермь, ул Куйбышева, д. 7, 25	42.5 кв.м.	1 603 749 руб.
комната	59:01:4410035:1047	г Пермь, ул Куйбышева, д. 7, 116	16.1 кв.м.	661 550 руб.
квартира	59:01:4410035:647	г Пермь, ул Куйбышева, д. 7, 22	92.5 кв.м.	2 881 667 руб.
квартира	59:01:4410035:610	г Пермь, ул Куйбышева, д. 7, 20	89.5 кв.м.	2 825 174 руб.
комната	59:01:4410035:1023	г Пермь, ул Куйбышева, д. 7, 101	12.4 кв.м.	509 517 руб.
квартира	59:01:4410035:614	г Пермь, ул Куйбышева, д. 7, 42	60.2 кв.м.	2 204 564 руб.
комната	59:01:4410035:1049	г Пермь, ул Куйбышева, д. 7, 103	25.8 кв.м.	1 060 123 руб.
квартира	59:01:4410035:665	г Пермь, ул Куйбышева, д. 7, 110	9.6 кв.м.	535 671 руб.
квартира	59:01:4410035:587	г Пермь, ул Куйбышева, д. 7, 19	158.1 кв.м.	3 915 557 руб.
квартира 	59:01:4410035:654	г Пермь, ул Куйбышева, д. 7, 55	173.7 кв.м.	4 121 227 руб.
нежилое помещение	59:01:4410035:541	г Пермь, ул Куйбышева, д. 7	186.9 кв.м.	5 409 821 руб.
квартира	59:01:4410035:578	г Пермь, ул Куйбышева, д. 7, 69	12.4 кв.м.	668 828 руб.
комнатав	59:01:4410035:657	г Пермь, ул Куйбышева, д. 7, 103в	19.9 кв.м.	989 102 руб.
комната	59:01:4410035:1024	г Пермь, ул Куйбышева, д. 7, 102	26 кв.м.	1 068 341 руб.
квартира	59:01:4410035:646	г Пермь, ул Куйбышева, д. 7, 15	40.5 кв.м.	1 686 523 руб.
квартираа	59:01:4410035:655	г Пермь, ул Куйбышева, д. 7, 103а	13 кв.м.	696 296 руб.
квартира	59:01:4410035:605	г Пермь, ул Куйбышева, д. 7, 102	20.1 кв.м.	997 024 руб.
комната	59:01:4410035:1050	г Пермь, ул Куйбышева, д. 7, 111	14.6 кв.м.	599 915 руб.
комната	59:01:4410035:1045	г Пермь, ул Куйбышева, д. 7, 99	19.5 кв.м.	801 256 руб.
встроенные помещения	59:01:0000000:25364	г Пермь, ул Куйбышева, д. 7	107.3 кв.м.	392 581 руб.
квартира	59:01:4410035:581	г Пермь, ул Куйбышева, д. 7, 72	12.3 кв.м.	664 215 руб.
квартира	59:01:4410035:660	г Пермь, ул Куйбышева, д. 7, 105	8.4 кв.м.	475 893 руб.
 комнаты	59:01:4410034:627	г Пермь, ул Куйбышева, д. 7, 50	47.7 кв.м.	1 799 972 руб.
квартира	59:01:4410035:566	г Пермь, ул Куйбышева, д. 7, 47	47.3 кв.м.	1 877 714 руб.
квартира	59:01:4410035:584	г Пермь, ул Куйбышева, д. 7, 75	11 кв.м.	603 308 руб.
квартира	59:01:4410035:642	г Пермь, ул Куйбышева, д. 7, 113	12.4 кв.м.	668 828 руб.
 комнаты в -комнатной квартире	59:01:0000000:69911	г Пермь, ул Куйбышева, д. 7, 55	60.7 кв.м.	268 952 руб.
квартира	59:01:4410035:568	г Пермь, ул Куйбышева, д. 7, 53	156.4 кв.м.	3 892 421 руб.
квартира	59:01:4410034:179	г Пермь, ул Куйбышева, д. 7, 36	75.1 кв.м.	1 598 063 руб.
квартира	59:01:4410035:613	г Пермь, ул Куйбышева, д. 7, 36	75.7 кв.м.	2 550 057 руб.
квартира	59:01:4410035:641	г Пермь, ул Куйбышева, д. 7, 123	14.9 кв.м.	780 997 руб.
квартира	59:01:4410035:588	г Пермь, ул Куйбышева, д. 7, 11	144.4 кв.м.	3 724 639 руб.
 комнаты в квартире	59:01:4410035:1065	г Пермь, ул Куйбышева, д. 7, 29	21.5 кв.м.	689 804 руб.
квартира	59:01:4410035:549	г Пермь, ул Куйбышева, д. 7, 57	36.7 кв.м.	1 572 701 руб.
комната	59:01:4410035:1030	г Пермь, ул Куйбышева, д. 7, 118	18.2 кв.м.	747 839 руб.
нежилое помещение	59:01:4410034:194	г Пермь, ул Куйбышева, д. 7	274.5 кв.м.	1 004 319 руб.
встроенные помещения	59:01:0000000:25363	г Пермь, ул Куйбышева, д. 7	197.5 кв.м.	722 597 руб.
квартира	59:01:4410035:634	г Пермь, ул Куйбышева, д. 7, 116	12.1 кв.м.	654 959 руб.
нежилое помещение	59:01:4410035:543	г Пермь, ул Куйбышева, д. 7	110.7 кв.м.	3 204 212 руб.
комната в -комнатной квартире	59:01:4410034:585	г Пермь, ул Куйбышева, д. 7, 24	38.9 кв.м.	1 467 902 руб.
 комнаты в -комнатной квартире	59:01:4410034:594	г Пермь, ул Куйбышева, д. 7, 39	25 кв.м.	943 382 руб.
нежилое помещение	59:01:4410034:582	г Пермь, ул Куйбышева, д. 7	274.5 кв.м.	12 757 887 руб.
квартира	59:01:4410035:632	г Пермь, ул Куйбышева, д. 7, 114	14.2 кв.м.	750 183 руб.
квартира	59:01:4410035:602	г Пермь, ул Куйбышева, д. 7, 99	15.1 кв.м.	789 720 руб.
нежилое помещение	59:01:4410035:539	г Пермь, ул Куйбышева, д. 7	1183.7 кв.м.	34 262 197 руб.
 комната с частью вспомогательных помещений	59:01:4410034:624	г Пермь, ул Куйбышева, д. 7, 25	46.5 кв.м.	1 754 690 руб.
комната	59:01:4410035:1033	г Пермь, ул Куйбышева, д. 7, 123	18.9 кв.м.	776 602 руб.
квартира	59:01:4410035:600	г Пермь, ул Куйбышева, д. 7, 97	14.8 кв.м.	776 622 руб.
квартира	59:01:4410035:652	г Пермь, ул Куйбышева, д. 7, 51	73 кв.м.	2 492 945 руб.
квартира	59:01:4410035:559	г Пермь, ул Куйбышева, д. 7, 30	47.1 кв.м.	1 872 298 руб.
 комнаты с частью вспомогательных помещений	59:01:4410034:626	г Пермь, ул Куйбышева, д. 7, 5	35.2 кв.м.	1 328 281 руб.
квартира	59:01:4410035:611	г Пермь, ул Куйбышева, д. 7, 21	102.6 кв.м.	3 064 354 руб.
жилое помещение	59:01:4410035:603	г Пермь, ул Куйбышева, д. 7, 100	10.5 кв.м.	579 402 руб.
квартира	59:01:4410035:550	г Пермь, ул Куйбышева, д. 7, 1	107 кв.м.	3 140 631 руб.
квартира	59:01:4410035:661	г Пермь, ул Куйбышева, д. 7, 106	11.3 кв.м.	617 521 руб.
четырехкомнатная квартира	59:01:0000000:25361	г Пермь, ул Куйбышева, д. 7, 22	92.5 кв.м.	2 848 094 руб.
комната	59:01:0000000:72588	г Пермь, ул Куйбышева, д. 7, 26	23.4 кв.м.	103 682 руб.
комната с частью вспомогательных помещений	59:01:4410035:1016	г Пермь, ул Куйбышева, д. 7, 103а	22.8 кв.м.	936 853 руб.
квартира	59:01:4410035:569	г Пермь, ул Куйбышева, д. 7, 56	27.9 кв.м.	1 285 750 руб.
комната	59:01:4410035:1048	г Пермь, ул Куйбышева, д. 7, 59	15.4 кв.м.	632 787 руб.
комната с частью вспомогательных помещений	59:01:4410034:629	г Пермь, ул Куйбышева, д. 7, 120	16.6 кв.м.	626 405 руб.
комната в -комнатной квартире	59:01:4410034:587	г Пермь, ул Куйбышева, д. 7, 24	46.3 кв.м.	1 747 143 руб.
комната	59:01:4410035:1032	г Пермь, ул Куйбышева, д. 7, 122	24.1 кв.м.	990 270 руб.
комната	59:01:4410035:1027	г Пермь, ул Куйбышева, д. 7, 109	11.3 кв.м.	464 317 руб.
квартира	59:01:4410035:574	г Пермь, ул Куйбышева, д. 7, 63	12.2 кв.м.	659 592 руб.
нежилое помещение	59:01:4410034:196	г Пермь, ул Куйбышева, д. 7	943.4 кв.м.	3 451 636 руб.
комната	59:01:4410035:1020	г Пермь, ул Куйбышева, д. 7, 67	16.9 кв.м.	694 422 руб.
квартира	59:01:4410035:618	г Пермь, ул Куйбышева, д. 7, 54	126.1 кв.м.	3 451 850 руб.
квартира	59:01:4410035:609	г Пермь, ул Куйбышева, д. 7, 13	41.5 кв.м.	1 715 598 руб.
квартира	59:01:4410035:586	г Пермь, ул Куйбышева, д. 7, 4	118.6 кв.м.	3 333 227 руб.
квартира	59:01:4410035:582	г Пермь, ул Куйбышева, д. 7, 73	12.1 кв.м.	654 959 руб.
 комнаты	59:01:4410034:601	г Пермь, ул Куйбышева, д. 7, 94,95	33.3 кв.м.	1 256 584 руб.
 комнаты	59:01:0000000:69906	г Пермь, ул Куйбышева, д. 7, 10	36.2 кв.м.	160 396 руб.
квартира	59:01:4410035:593	г Пермь, ул Куйбышева, д. 7, 35	66.4 кв.м.	2 348 115 руб.
квартира	59:01:4410035:616	г Пермь, ул Куйбышева, д. 7, 49	54.4 кв.м.	2 062 762 руб.
 комнаты	59:01:4410035:619	г Пермь, ул Куйбышева, д. 7, 76	44.6 кв.м.	1 430 943 руб.
комната в -комнатной квартире	59:01:4410034:456	г Пермь, ул Куйбышева, д. 7, 54	39.4 кв.м.	1 486 769 руб.
сеть канализационная	59:01:4410034:379	г Пермь, ул Куйбышева, д. 7	0 кв.м.	0 руб.
квартира	59:01:4410035:563	г Пермь, ул Куйбышева, д. 7, 46	103 кв.м.	3 071 367 руб.
комната в -ти комнатной квартире	59:01:4410035:1052	г Пермь, ул Куйбышева, д. 7, 54	13.2 кв.м.	263 089 руб.
квартира	59:01:4410035:599	г Пермь, ул Куйбышева, д. 7, 96	17.5 кв.м.	891 712 руб.
квартира	59:01:4410035:596	г Пермь, ул Куйбышева, д. 7, 93	12.9 кв.м.	691 742 руб.
квартира	59:01:4410035:547	г Пермь, ул Куйбышева, д. 7, 28	69.8 кв.м.	2 423 686 руб.
квартира	59:01:4410035:562	г Пермь, ул Куйбышева, д. 7, 39	89.5 кв.м.	2 825 174 руб.
комната в -комнатной квартире	59:01:0000000:69905	г Пермь, ул Куйбышева, д. 7, 1	34.6 кв.м.	153 307 руб.
квартира	59:01:4410035:617	г Пермь, ул Куйбышева, д. 7, 50	114.7 кв.м.	3 269 774 руб.
квартира	59:01:4410035:649	г Пермь, ул Куйбышева, д. 7, 27	194.2 кв.м.	4 375 283 руб.
 комнаты в -комнатной квартире	59:01:0000000:69910	г Пермь, ул Куйбышева, д. 7, 55	52.2 кв.м.	231 290 руб.
квартира	59:01:4410035:626	г Пермь, ул Куйбышева, д. 7, 83	8.5 кв.м.	480 941 руб.
комната	59:01:4410034:640	г Пермь, ул Куйбышева, д. 7, 39	25.5 кв.м.	962 249 руб.
комната	59:01:0000000:76188	г Пермь, ул Куйбышева, д. 7, 92	21.3 кв.м.	94 377 руб.
квартира	59:01:4410035:575	г Пермь, ул Куйбышева, д. 7, 66	12.9 кв.м.	691 742 руб.
нежилые помещения	59:01:4410034:583	г Пермь, ул Куйбышева, д. 7	186.9 кв.м.	8 686 518 руб.
квартира	59:01:4410035:629	г Пермь, ул Куйбышева, д. 7, 88	12.5 кв.м.	673 431 руб.
комната	59:01:4410035:1025	г Пермь, ул Куйбышева, д. 7, 106	14.4 кв.м.	591 697 руб.
 комнаты	59:01:0000000:69913	г Пермь, ул Куйбышева, д. 7	23.1 кв.м.	102 352 руб.
	59:01:4410035:1069	г Пермь, ул Куйбышева, д. 7, 31	17.2 кв.м.	551 223 руб.
квартира	59:01:4410035:627	г Пермь, ул Куйбышева, д. 7, 84	10.4 кв.м.	574 588 руб.
квартира	59:01:4410035:604	г Пермь, ул Куйбышева, д. 7, 101	9.6 кв.м.	535 671 руб.
комната	59:01:4410035:1022	г Пермь, ул Куйбышева, д. 7, 100	13.6 кв.м.	558 825 руб.
комната	59:01:4410034:501	г Пермь, ул Куйбышева, д. 7, 114	18.9 кв.м.	713 196 руб.
квартира	59:01:4410035:567	г Пермь, ул Куйбышева, д. 7, 48	69.8 кв.м.	2 423 686 руб.
квартира	59:01:4410035:548	г Пермь, ул Куйбышева, д. 7, 18	97.3 кв.м.	2 969 873 руб.
комната с частью вспомогательных помещений	59:01:0000000:70327	г Пермь, ул Куйбышева, д. 7, 119	17.4 кв.м.	77 097 руб.
 комнаты	59:01:0000000:70323	г Пермь, ул Куйбышева, д. 7, 12	43.5 кв.м.	192 742 руб.
комната	59:01:4410035:1040	г Пермь, ул Куйбышева, д. 7, 77	25.1 кв.м.	1 031 360 руб.
 комнаты	59:01:4410034:628	г Пермь, ул Куйбышева, д. 7, 50	67 кв.м.	2 528 262 руб.
квартира	59:01:4410035:663	г Пермь, ул Куйбышева, д. 7, 108	9.3 кв.м.	520 887 руб.
нежилые помещения	59:01:4410034:579	г Пермь, ул Куйбышева, д. 7	1025.8 кв.м.	47 675 922 руб.
комната	59:01:0000000:72587	г Пермь, ул Куйбышева, д. 7, 26	23.9 кв.м.	105 897 руб.
-комнаты в -комнатной квартире	59:01:4410034:595	г Пермь, ул Куйбышева, д. 7, 45	29 кв.м.	1 094 323 руб.
 комнаты с частью вспомогательных помещений	59:01:4410035:860	г Пермь, ул Куйбышева, д. 7, 5	35.2 кв.м.	701 569 руб.
комната	59:01:4410035:1035	г Пермь, ул Куйбышева, д. 7, 69	16.9 кв.м.	694 422 руб.
квартира	59:01:4410035:651	г Пермь, ул Куйбышева, д. 7, 44	61.1 кв.м.	2 225 892 руб.
квартира	59:01:4410035:552	г Пермь, ул Куйбышева, д. 7, 9	35.3 кв.м.	1 529 351 руб.
квартира	59:01:4410035:579	г Пермь, ул Куйбышева, д. 7, 70	12.2 кв.м.	659 592 руб.
квартира	59:01:4410035:666	г Пермь, ул Куйбышева, д. 7, 111	10.7 кв.м.	588 997 руб.
 комнаты	59:01:0000000:69907	г Пермь, ул Куйбышева, д. 7, 12	64 кв.м.	283 574 руб.
квартира	59:01:4410035:557	г Пермь, ул Куйбышева, д. 7, 24	170.5 кв.м.	4 079 971 руб.
жилое помещение	59:01:0000000:69914	г Пермь, ул Куйбышева, д. 7, 27	22.5 кв.м.	720 173 руб.
квартира	59:01:4410035:650	г Пермь, ул Куйбышева, д. 7, 37	77.3 кв.м.	2 583 356 руб.
квартира	59:01:4410035:658	г Пермь, ул Куйбышева, д. 7, 103	19.4 кв.м.	969 169 руб.
встроенные помещения	59:01:0000000:25366	г Пермь, ул Куйбышева, д. 7, 1	29.2 кв.м.	106 835 руб.
квартира	59:01:4410035:621	г Пермь, ул Куйбышева, д. 7, 78	8.2 кв.м.	465 760 руб.
комната	59:01:4410034:658	г Пермь, ул Куйбышева, д. 7, 93	21.1 кв.м.	796 214 руб.
квартира	59:01:4410035:625	г Пермь, ул Куйбышева, д. 7, 82	9.6 кв.м.	535 671 руб.
комната	59:01:4410034:637	г Пермь, ул Куйбышева, д. 7, 103б	26.9 кв.м.	1 015 078 руб.
комната	59:01:4410035:1038	г Пермь, ул Куйбышева, д. 7, 74	22.4 кв.м.	920 417 руб.
комната	59:01:4410034:634	г Пермь, ул Куйбышева, д. 7, 26	41.6 кв.м.	1 569 787 руб.
нежилое помещение	59:01:4410035:545	г Пермь, ул Куйбышева, д. 7	121.8 кв.м.	260 890 руб.
квартира	59:01:4410035:622	г Пермь, ул Куйбышева, д. 7, 79	9.4 кв.м.	525 826 руб.
комната	59:01:4410035:635	г Пермь, ул Куйбышева, д. 7, 117	13 кв.м.	696 296 руб.
комната с частью вспомогательных помещений	59:01:4410035:1007	г Пермь, ул Куйбышева, д. 7, 24	32.1 кв.м.	1 318 990 руб.
 комнаты в -комнатной квартире	59:01:4410034:590	г Пермь, ул Куйбышева, д. 7, 26	61.8 кв.м.	2 332 039 руб.
 комнаты в -комнатной квартире	59:01:4410034:592	г Пермь, ул Куйбышева, д. 7, 27	65.2 кв.м.	2 460 339 руб.
квартира	59:01:4410035:590	г Пермь, ул Куйбышева, д. 7, 31	118.3 кв.м.	3 328 391 руб.
квартира	59:01:4410035:573	г Пермь, ул Куйбышева, д. 7, 62	8.5 кв.м.	480 941 руб.
комната	59:01:4410035:628	г Пермь, ул Куйбышева, д. 7, 85	10.3 кв.м.	569 763 руб.
квартира	59:01:4410035:639	г Пермь, ул Куйбышева, д. 7, 121	13.3 кв.м.	709 897 руб.
 комнаты с частью вспомогательных помещений	59:01:4410034:625	г Пермь, ул Куйбышева, д. 7, 25	46 кв.м.	1 735 822 руб.
