Тип	Кадастровый номер	Адрес	Площадь	Кадастровая стоимость
квартира	59:01:4410007:199	г Пермь, ул Окулова, д. 33, 33	42.7 кв.м.	2 083 277 руб.
квартира 	59:01:4410007:183	г Пермь, ул Окулова, д. 33, 24	30.3 кв.м.	1 730 812 руб.
квартира 	59:01:4410008:345	г Пермь, ул Окулова, д. 33, 27	42.4 кв.м.	723 233 руб.
квартира 	59:01:4410007:205	г Пермь, ул Окулова, д. 33, 15	44.1 кв.м.	2 196 026 руб.
квартира 	59:01:4410007:194	г Пермь, ул Окулова, д. 33, 12	43.8 кв.м.	2 254 208 руб.
участок	59:01:4410008:23	г Пермь, ул Окулова, д. 33	1606 кв.м.	15 276 593 руб.
квартира 	59:01:4410007:179	г Пермь, ул Окулова, д. 33, 4	42.4 кв.м.	2 203 957 руб.
квартира	59:01:4410008:343	г Пермь, ул Окулова, д. 33, 10	42.1 кв.м.	718 116 руб.
двухкомнатная квартира	59:01:4410008:360	г Пермь, ул Окулова, д. 33, 14	41.8 кв.м.	2 161 174 руб.
однокомнатная квартира	59:01:4410008:362	г Пермь, ул Окулова, д. 33, 40	31.1 кв.м.	1 747 564 руб.
квартира 	59:01:4410007:200	г Пермь, ул Окулова, д. 33, 34	45.4 кв.м.	2 310 654 руб.
квартира 	59:01:4410007:189	г Пермь, ул Окулова, д. 33, 26	42.3 кв.м.	2 106 392 руб.
квартира 	59:01:4410007:207	г Пермь, ул Окулова, д. 33, 17	31.1 кв.м.	1 764 539 руб.
квартира№	59:01:4410007:589	г Пермь, ул Окулова, д. 33, 7	44.3 кв.м.	2 216 379 руб.
квартира 	59:01:4410007:210	г Пермь, ул Окулова, д. 33, 20	43.8 кв.м.	2 181 087 руб.
двухкомнатная квартира	59:01:4410008:359	г Пермь, ул Окулова, д. 33, 12	42.7 кв.м.	2 193 487 руб.
квартира 	59:01:4410007:195	г Пермь, ул Окулова, д. 33, 29	42.3 кв.м.	2 106 392 руб.
трехкомнатная квартира	59:01:4410004:220	г Пермь, ул Окулова, д. 6, 8	82.8 кв.м.	2 932 437 руб.
сеть холодного водоснабжения	59:01:4410004:50	г Пермь, ул Окулова	0 кв.м.	1 698 руб.
трехкомнатная квартира	59:01:4410004:199	г Пермь, ул Окулова, д. 6, 18	83.7 кв.м.	3 020 770 руб.
трехкомнатная квартира	59:01:4410004:169	г Пермь, ул Окулова, д. 6, 2	82.2 кв.м.	2 987 584 руб.
квартира	59:01:4410004:570	г Пермь, ул Окулова, д. 6, 17	79 кв.м.	280 768 руб.
трехкомнатная квартира	59:01:4410004:167	г Пермь, ул Окулова, д. 6, 18	81.3 кв.м.	2 812 624 руб.
четырехкомнатная квартира	59:01:4410004:205	г Пермь, ул Окулова, д. 6, 23	95.5 кв.м.	3 270 592 руб.
четырехкомнатная квартира	59:01:4410004:185	г Пермь, ул Окулова, д. 6, 5	93.6 кв.м.	3 233 296 руб.
трехкомнатная квартира	59:01:4410004:188	г Пермь, ул Окулова, д. 6, 8	84.1 кв.м.	3 029 562 руб.
четырехкомнатная квартира	59:01:4410004:168	г Пермь, ул Окулова, д. 6, 19	94.5 кв.м.	3 250 144 руб.
квартира	59:01:4410004:569	г Пермь, ул Окулова, д. 6, 10	81.7 кв.м.	290 364 руб.
электрические сети , кв	59:01:4410004:51	г Пермь, ул Окулова, д. 6	0 кв.м.	89 732 руб.
трехкомнатная квартира	59:01:4410004:221	г Пермь, ул Окулова, д. 6, 9	84.2 кв.м.	3 031 756 руб.
трехкомнатная квартира	59:01:4410004:172	г Пермь, ул Окулова, д. 6, 22	83.7 кв.м.	3 020 770 руб.
трехкомнатная квартира	59:01:4410004:214	г Пермь, ул Окулова, д. 6, 31	83.5 кв.м.	2 911 220 руб.
трехкомнатная квартира	59:01:4410004:228	г Пермь, ул Окулова, д. 6, 15	84.6 кв.м.	3 040 517 руб.
трехкомнатная квартира	59:01:4410004:190	г Пермь, ул Окулова, д. 6, 1	73.1 кв.м.	2 778 383 руб.
трехкомнатная квартира	59:01:4410004:198	г Пермь, ул Окулова, д. 6, 17	82 кв.м.	2 983 132 руб.
трехкомнатная квартира	59:01:4410004:166	г Пермь, ул Окулова, д. 6, 17	82 кв.м.	2 983 132 руб.
квартира	59:01:4410004:968	г Пермь, ул Окулова, д. 6, 23	95.5 кв.м.	3 261 222 руб.
трехкомнатная квартира	59:01:4410004:207	г Пермь, ул Окулова, д. 6, 25	83.3 кв.м.	3 011 954 руб.
четырехкомнатная квартира	59:01:4410004:210	г Пермь, ул Окулова, д. 6, 28	94.2 кв.м.	3 243 984 руб.
трехкомнатная квартира	59:01:4410004:179	г Пермь, ул Окулова, д. 6, 29	85.2 кв.м.	3 053 615 руб.
трехкомнатная квартира	59:01:4410004:204	г Пермь, ул Окулова, д. 6, 22	81.3 кв.м.	2 834 517 руб.
четырехкомнатная квартира	59:01:4410004:181	г Пермь, ул Окулова, д. 6, 30	94.9 кв.м.	3 258 338 руб.
квартира 	59:01:4410004:571	г Пермь, ул Окулова, д. 6, 20	80.6 кв.м.	286 455 руб.
трехкомнатная квартира	59:01:4410004:224	г Пермь, ул Окулова, д. 6, 11	81 кв.м.	2 824 058 руб.
трехкомнатная квартира	59:01:4410004:206	г Пермь, ул Окулова, д. 6, 24	92.6 кв.м.	3 210 940 руб.
четырехкомнатная квартира	59:01:4410004:187	г Пермь, ул Окулова, д. 6, 7	92.6 кв.м.	3 210 940 руб.
четырехкомнатная квартира	59:01:4410004:217	г Пермь, ул Окулова, д. 6, 5	93.9 кв.м.	3 237 814 руб.
четырехкомнатная квартира	59:01:4410004:165	г Пермь, ул Окулова, д. 6, 16	94 кв.м.	3 239 872 руб.
тепловая трасса	59:01:4410004:877	г Пермь, ул Окулова, д. 6	0 кв.м.	0 руб.
	59:01:4410004:189	г Пермь, ул Окулова, д. 6, 9	88.4 кв.м.	2 530 416 руб.
трехкомнатная квартира	59:01:4410004:170	г Пермь, ул Окулова, д. 6, 20	83.5 кв.м.	3 016 365 руб.
трехкомнатная квартира	59:01:4410004:216	г Пермь, ул Окулова, д. 6, 4	81.7 кв.м.	2 891 917 руб.
