ул. Смирнова, д. 30, Томск
ул. Интернационалистов, д. 19/1, Томск
ул. Войкова, д. 57, Томск
ул. Карла Ильмера, д. 21, Томск
ул. Айвазовского, д. 33, Томск
пр-кт. Фрунзе, д. 128, Томск
ул. Асиновская, д. 5/1, Томск
ул. Красноармейская, д. 135, Томск
ул. Елизаровых, д. 31, Томск
тракт. Иркутский, д. 55, Томск
ул. Лебедева, д. 34, Томск
ул. Говорова, д. 30, Томск
ул. Говорова, д. 28, Томск
тракт. Иркутский, д. 57, Томск
ул. Репина, д. 12, Томск
пр-кт. Мира, д. 19/1, Томск
ул. Говорова, д. 32, Томск
тракт. Иркутский, д. 110, Томск
ул. Белинского, д. 28/1, Томск
ул. Ференца Мюнниха, д. 26, Томск
пер. Карский, д. 29, Томск
ул. Суворова, д. 12, Томск
ул. Говорова, д. 64, Томск
ул. Говорова, д. 70, Томск
ул. Говорова, д. 76, Томск
ул. Говорова, д. 76/1, Томск
ул. Говорова, д. 78, Томск
ул. Суворова, д. 10, Томск
ул. Суворова, д. 15, Томск
ул. Суворова, д. 13, Томск
ул. Сергея Лазо, д. 17, Томск
ул. Сергея Лазо, д. 21, Томск
ул. Интернационалистов, д. 1, Томск
ул. Интернационалистов, д. 3, Томск
ул. Интернационалистов, д. 5, Томск
ул. Интернационалистов, д. 5а, Томск
ул. Интернационалистов, д. 7, Томск
ул. Интернационалистов, д. 9, Томск
ул. Интернационалистов, д. 15, Томск
ул. Интернационалистов, д. 21, Томск
ул. Интернационалистов, д. 23, Томск
ул. Интернационалистов, д. 29, Томск
ул. Интернационалистов, д. 31, Томск
ул. Интернационалистов, д. 35, Томск
пр-кт. Мира, д. 27, Томск
пр-кт. Мира, д. 31, Томск
пр-кт. Мира, д. 33, Томск
ул. Ференца Мюнниха, д. 8, Томск
ул. Ференца Мюнниха, д. 10, Томск
ул. Ференца Мюнниха, д. 12, Томск
ул. Ференца Мюнниха, д. 14, Томск
ул. Ференца Мюнниха, д. 28, Томск
ул. Ференца Мюнниха, д. 30, Томск
ул. Ференца Мюнниха, д. 32, Томск
ул. Ференца Мюнниха, д. 36, Томск
ул. Ференца Мюнниха, д. 36/1, Томск
ул. Ференца Мюнниха, д. 38, Томск
ул. Ференца Мюнниха, д. 42/1, Томск
ул. Ференца Мюнниха, д. 46, Томск
ул. Смирнова, д. 16, Томск
проезд. Барнаульский, д. 11, Томск
ул. Старо-Деповская, д. 64, Томск
ул. Стрелочная, д. 1а, Томск
ул. Стрелочная, д. 1б, Томск
ул. Стрелочная, д. 1в, Томск
пер. Кузнецкий, д. 1а, Томск
ул. Войкова, д. 75а, Томск
ул. Витимская, д. 25, Томск
ул. Витимская, д. 25а, Томск
ул. Вилюйская, д. 10а, Томск
ул. Мичурина, д. 43, к. 1, Томск
ул. Мичурина, д. 89, Томск
ул. Мичурина, д. 91, Томск
ул. Мичурина, д. 93, Томск
тракт. Иркутский, д. 72А, Томск
тракт. Иркутский, д. 74, Томск
ул. Новосибирская, д. 31, Томск
ул. Новосибирская, д. 33, Томск
ул. Новосибирская, д. 43, Томск
тракт. Иркутский, д. 86Б, Томск
